time,concco
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,168.4590301513672
2011-02-15,167.408447265625
2011-03-15,188.8860321044922
2011-04-15,177.6290283203125
2011-05-15,154.88282775878906
2011-06-15,143.09658813476562
2011-07-15,124.9254150390625
2011-08-15,
2011-09-15,122.12517547607422
2011-10-15,113.83165740966797
2011-11-15,128.1577911376953
2011-12-15,141.44639587402344
2012-01-15,166.27061462402344
2012-02-15,189.37945556640625
2012-03-15,192.28904724121094
2012-04-15,173.97781372070312
2012-05-15,156.1614532470703
2012-06-15,135.6636505126953
2012-07-15,124.27426147460938
2012-08-15,117.28368377685547
2012-09-15,114.26911163330078
2012-10-15,113.99867248535156
2012-11-15,123.88255310058594
2012-12-15,140.34530639648438
2013-01-15,159.58856201171875
2013-02-15,190.71287536621094
2013-03-15,182.4236297607422
2013-04-15,177.2248077392578
2013-05-15,162.18101501464844
2013-06-15,142.67520141601562
2013-07-15,129.91421508789062
2013-08-15,121.18022155761719
2013-09-15,115.3301773071289
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,161.40354919433594
2014-02-15,170.99085998535156
2014-03-15,185.81478881835938
2014-04-15,172.31475830078125
2014-05-15,155.86448669433594
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,168.9064178466797
2017-02-15,181.55259704589844
2017-03-15,182.7127685546875
2017-04-15,172.49415588378906
2017-05-15,151.7987518310547
2017-06-15,139.8453826904297
2017-07-15,125.5898666381836
2017-08-15,116.30903625488281
2017-09-15,103.97268676757812
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,119.58966064453125
2018-11-15,123.12335968017578
2018-12-15,137.58682250976562
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
