time,concNno3pm10
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,0.4056057929992676
2005-02-15,0.7830499410629272
2005-03-15,0.8065510392189026
2005-04-15,1.1914594173431396
2005-05-15,1.442497730255127
2005-06-15,0.7000203132629395
2005-07-15,0.6591269373893738
2005-08-15,0.6412299275398254
2005-09-15,1.2823317050933838
2005-10-15,1.7383451461791992
2005-11-15,0.5337114930152893
2005-12-15,0.5404518842697144
2006-01-15,1.2079670429229736
2006-02-15,0.9051990509033203
2006-03-15,0.7012844681739807
2006-04-15,1.0230066776275635
2006-05-15,1.0081872940063477
2006-06-15,0.7895237803459167
2006-07-15,0.648010790348053
2006-08-15,0.5454291701316833
2006-09-15,1.43381667137146
2006-10-15,0.9493817090988159
2006-11-15,0.6896575093269348
2006-12-15,0.4199729263782501
2007-01-15,0.19715207815170288
2007-02-15,0.8798190355300903
2007-03-15,0.9498186111450195
2007-04-15,1.0627385377883911
2007-05-15,0.8757646083831787
2007-06-15,0.5639320015907288
2007-07-15,0.5931585431098938
2007-08-15,0.6317881345748901
2007-09-15,0.45548203587532043
2007-10-15,0.7130569815635681
2007-11-15,0.5464420914649963
2007-12-15,0.8565375208854675
2008-01-15,0.5991329550743103
2008-02-15,1.157407283782959
2008-03-15,0.453674852848053
2008-04-15,1.0251085758209229
2008-05-15,0.9086124300956726
2008-06-15,0.3413776457309723
2008-07-15,0.2924253046512604
2008-08-15,0.35129183530807495
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,0.5917352437973022
2010-07-15,0.9301573038101196
2010-08-15,0.1582048386335373
2010-09-15,0.25461214780807495
2010-10-15,0.713551938533783
2010-11-15,0.3155824840068817
2010-12-15,0.4360315501689911
2011-01-15,0.5407983064651489
2011-02-15,1.1621999740600586
2011-03-15,0.9249047040939331
2011-04-15,1.1296757459640503
2011-05-15,0.8708529472351074
2011-06-15,0.49404239654541016
2011-07-15,0.6151686310768127
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
