time,concCecpm25
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,0.1374979317188263
2014-02-15,0.1751907467842102
2014-03-15,0.41442593932151794
2014-04-15,0.1893353909254074
2014-05-15,0.10673316568136215
2014-06-15,0.13324615359306335
2014-07-15,0.12201808393001556
2014-08-15,0.13904382288455963
2014-09-15,0.18954357504844666
2014-10-15,0.20165088772773743
2014-11-15,0.1313553750514984
2014-12-15,0.1899302899837494
2015-01-15,0.13907372951507568
2015-02-15,0.317482054233551
2015-03-15,0.3591643273830414
2015-04-15,0.17102637887001038
2015-05-15,0.10508967190980911
2015-06-15,0.11132200062274933
2015-07-15,0.1640758514404297
2015-08-15,0.17950224876403809
2015-09-15,0.10068182647228241
2015-10-15,0.23217394948005676
2015-11-15,0.26080840826034546
2015-12-15,0.16155825555324554
2016-01-15,0.20276905596256256
2016-02-15,0.1445828378200531
2016-03-15,0.23585909605026245
2016-04-15,0.1449410617351532
2016-05-15,0.14130738377571106
2016-06-15,0.1005270928144455
2016-07-15,0.1377965658903122
2016-08-15,0.1531904935836792
2016-09-15,0.1705697923898697
2016-10-15,0.2547864317893982
2016-11-15,0.31117454171180725
2016-12-15,0.3670095205307007
2017-01-15,0.24883095920085907
2017-02-15,0.20142371952533722
2017-03-15,0.2218773514032364
2017-04-15,0.2063639611005783
2017-05-15,0.1652085930109024
2017-06-15,0.16563375294208527
2017-07-15,0.09522431343793869
2017-08-15,0.13150249421596527
2017-09-15,0.10828392952680588
2017-10-15,0.17694231867790222
2017-11-15,0.1616772711277008
2017-12-15,0.2532469630241394
2018-01-15,0.14114642143249512
2018-02-15,0.22778330743312836
2018-03-15,0.11550273001194
2018-04-15,0.11310510337352753
2018-05-15,0.10636426508426666
2018-06-15,0.1217140406370163
2018-07-15,
2018-08-15,0.09041596204042435
2018-09-15,0.16712909936904907
2018-10-15,0.21498620510101318
2018-11-15,0.13669806718826294
2018-12-15,0.20472486317157745
2019-01-15,0.15245045721530914
2019-02-15,0.24853825569152832
2019-03-15,0.1643231064081192
2019-04-15,0.115308478474617
2019-05-15,0.0804167240858078
2019-06-15,0.06672007590532303
2019-07-15,
2019-08-15,0.127881720662117
2019-09-15,0.12520453333854675
2019-10-15,0.09947717934846878
2019-11-15,0.19393904507160187
2019-12-15,0.16578154265880585
