time,concCecpm25
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,0.10791018605232239
2011-02-15,0.11914060264825821
2011-03-15,0.10056693106889725
2011-04-15,0.057349253445863724
2011-05-15,0.06316483020782471
2011-06-15,
2011-07-15,0.11146621406078339
2011-08-15,0.11836313456296921
2011-09-15,0.15225578844547272
2011-10-15,0.11747559159994125
2011-11-15,0.15425445139408112
2011-12-15,0.1424633413553238
2012-01-15,0.0587996169924736
2012-02-15,0.14673416316509247
2012-03-15,0.10527404397726059
2012-04-15,0.1297459900379181
2012-05-15,0.07519204914569855
2012-06-15,0.11577574908733368
2012-07-15,0.0896991714835167
2012-08-15,
2012-09-15,
2012-10-15,0.09847241640090942
2012-11-15,0.18035638332366943
2012-12-15,0.14635246992111206
2013-01-15,0.04492960870265961
2013-02-15,0.06009559705853462
2013-03-15,0.059719517827034
2013-04-15,0.06958503276109695
2013-05-15,0.07253532111644745
2013-06-15,0.0583660863339901
2013-07-15,0.08965262025594711
2013-08-15,0.09235280752182007
2013-09-15,0.07491647452116013
2013-10-15,0.1213347539305687
2013-11-15,0.12264341861009598
2013-12-15,0.18746772408485413
2014-01-15,0.10047692060470581
2014-02-15,0.09486721456050873
2014-03-15,0.05808423459529877
2014-04-15,0.07192661613225937
2014-05-15,0.0545000322163105
2014-06-15,0.04880045726895332
2014-07-15,0.08566423505544662
2014-08-15,0.11406512558460236
2014-09-15,0.06023239344358444
2014-10-15,0.09769593179225922
2014-11-15,0.11392131447792053
2014-12-15,0.07171095162630081
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
